"ID","date","latitude","longitude","eunis"
842,2004-07-08,46.63998,34.193309,"X36"
843,2004-07-08,46.63998,34.193309,"X36"
844,2004-07-08,46.63998,34.193309,"X36"
845,2004-07-08,46.63998,34.193309,"X36"
846,2004-07-08,46.63998,34.193309,"X36"
847,2004-07-08,46.63998,34.193309,"X36"
848,2004-07-08,46.63998,34.193309,"X36"
849,2004-07-08,46.63998,34.193309,"X36"
850,2004-07-08,46.63998,34.193309,"X36"
851,2004-07-08,46.63998,34.193309,"X36"
852,2004-07-08,46.63998,34.193309,"X36"
853,2004-07-08,46.63998,34.193309,"X36"
854,2004-07-08,46.63998,34.193309,"X36"
855,2004-07-08,46.63998,34.193309,"X36"
856,2004-07-08,46.63998,34.193309,"X36"
857,2004-07-08,46.63998,34.193309,"X36"
858,2004-07-08,46.63998,34.193309,"X36"
756,2010-07-08,46.661317,33.739717,"X36"
770,2010-07-07,46.6644,33.81605,"X36"
767,2010-07-07,46.664417,33.814833,"X36"
768,2010-07-07,46.664467,33.81515,"X36"
769,2010-07-07,46.6663,33.818233,"X36"
766,2010-07-08,46.66765,33.733683,"X36"
765,2010-07-08,46.66785,33.73365,"X36"
760,2010-07-08,46.668117,33.735367,"X36"
761,2010-07-08,46.668333,33.7351,"X36"
764,2010-07-08,46.668533,33.7339,"X36"
762,2010-07-08,46.668633,33.734617,"X36"
763,2010-07-08,46.668833,33.7343,"X36"
749,2010-07-08,46.674,33.726617,"X36"
748,2010-07-08,46.674367,33.72865,"X36"
750,2010-07-08,46.6746,33.706233,"X36"
752,2010-07-08,46.67475,33.704367,"X36"
751,2010-07-08,46.674783,33.7054,"X36"
747,2010-07-08,46.676467,33.71685,"X36"
753,2010-07-08,46.676733,33.704567,"X36"
746,2010-07-08,46.677417,33.719967,"X36"
754,2010-07-08,46.67755,33.704783,"X36"
745,2010-07-08,46.677633,33.720383,"X36"
744,2010-07-08,46.678833,33.721567,"X36"
743,2010-07-08,46.679383,33.72355,"X36"
742,2010-07-08,46.680067,33.725133,"X36"
759,2010-07-08,46.680183,33.730367,"X36"
758,2010-07-08,46.68025,33.7296,"X36"
741,2010-07-08,46.681167,33.72605,"X36"
740,2010-07-08,46.681467,33.7267,"X36"
739,2010-07-08,46.68195,33.728917,"X36"
755,2010-07-08,46.683833,33.70575,"X36"
757,2010-07-08,46.689617,33.715117,"X36"
